view_date, dashboard_name , total_view_count_per_day
2020-10-19,marketing-overview,29
2020-10-19,revenue-factura,8
2020-10-28,shipment-parcels,15
2020-11-17,shipment-orders,3
2020-12-01,sales-comparison,425
2020-10-22,weekly-sales-comparison,50
2020-10-19,sales-trend,3
2020-10-19,delivery-quotes,2
2020-10-22,marketing-overview,38
2020-12-15,sales-comparison,319
2020-10-16,shop-performance-overview,2
2020-10-26,user-stats,3
2020-11-06,sales-comparison,328
2020-11-30,value-returned,1
2020-12-17,shop-performance-overview,4
2020-11-16,delivery-quotes,5
2020-11-17,shipment-parcels,14
2020-10-05,weekly-sales-comparison,61
2020-11-20,revenue-factura-before-returs,1
2020-10-12,shipment-parcels,8
2020-10-14,weekly-sales-comparison,87
2020-11-17,sales-comparison,341
2020-12-04,sales-trend,2
2020-11-30,revenue-factura,33
2020-10-12,weekly-sales-comparison,55
2020-12-15,marketing-overview,42
2020-11-16,sales-comparison,486
2020-12-04,value-returned,1
2020-12-01,weekly-sales-comparison,20
2020-11-20,sales-comparison,266
2020-11-20,delivery-quotes,3
2020-11-16,supplies,1
2020-10-28,weekly-sales-comparison,67
2020-11-23,marketing-overview,32
2020-11-27,sales-trend,3
2020-11-24,shipment-parcels,10
2020-11-16,weekly-sales-comparison,58
2020-10-12,sales-comparison,458
2020-10-05,revenue-factura,11
2020-11-23,revenue-factura,15
2020-11-06,user-stats,2
2020-11-20,marketing-overview,34
2020-10-28,marketing-overview,39
2020-12-04,marketing-overview,18
2020-11-09,value-returned,1
2020-10-16,revenue-factura,10
2020-12-04,revenue-factura,17
2020-11-24,weekly-sales-comparison,65
2020-11-06,revenue-factura,12
2020-11-24,marketing-overview,27
2020-12-16,revenue-factura,8
2020-11-02,weekly-sales-comparison,80
2020-10-22,revenue-factura,8
2020-12-04,sales-comparison,238
2020-11-26,shipment-parcels,11
2020-11-09,marketing-cost,1
2020-11-16,revenue-factura,19
2020-11-09,delivery-quotes,1
2020-11-23,shop-performance-overview,4
2020-10-14,marketing-overview,32
2020-11-09,revenue-factura,24
2020-12-15,marketing-affiliate-scorecard,1
2020-10-19,shipment-parcels,6
2020-11-06,weekly-sales-comparison,62
2020-12-04,weekly-sales-comparison,47
2020-11-09,sales-comparison,421
2020-12-01,revenue-factura,27
2020-10-16,sales-comparison,297
2020-10-12,revenue-factura-before-returs,1
2020-11-20,shipment-orders,2
2020-11-09,weekly-sales-comparison,40
2020-11-26,sales-comparison,338
2020-10-16,weekly-sales-comparison,128
2020-11-17,weekly-sales-comparison,33
2020-11-16,marketing-overview,37
2020-12-16,marketing-overview,33
2020-12-17,shipment-parcels,15
2020-11-27,revenue-factura,19
2020-10-12,marketing-overview,36
2020-11-30,marketing-overview,56
2020-10-19,sales-comparison,461
2020-11-16,marketing-cost,1
2020-12-17,sales-comparison,290
2020-11-24,sales-comparison,423
2020-11-06,shipment-parcels,15
2020-11-27,weekly-sales-comparison,107
2020-12-15,revenue-factura,22
2020-10-28,revenue-factura,37
2020-12-01,sales-trend,4
2020-11-30,shop-performance-overview,5
2020-12-15,user-stats,12
2020-11-16,marketing-affiliate-scorecard,1
2020-11-30,sales-comparison,871
2020-10-14,revenue-factura,9
2020-10-14,sales-comparison,314
2020-11-16,marketing-crm-scorecard,1
2020-10-28,sales-comparison,311
2020-11-06,marketing-overview,36
2020-11-09,sales-trend,6
2020-11-23,sales-comparison,484
2020-11-27,shipment-parcels,11
2020-11-20,shipment-parcels,12
2020-12-16,shipment-parcels,17
2020-11-23,delivery-quotes,2
2020-11-30,sales-trend,20
2020-10-16,marketing-overview,31
2020-11-16,user-stats,2
2020-11-30,weekly-sales-comparison,86
2020-12-01,shop-performance-overview,1
2020-12-15,shipment-orders,1
2020-11-26,revenue-factura,22
2020-11-23,weekly-sales-comparison,78
2020-12-15,marketing-cost,1
2020-11-23,shipment-parcels,15
2020-12-15,weekly-sales-comparison,20
2020-12-17,delivery-quotes,5
2020-11-27,sales-comparison,421
2020-10-14,delivery-quotes,1
2020-12-15,revenue-factura-before-returs,1
2020-11-16,shop-performance-overview,2
2020-11-16,sales-trend,5
2020-11-26,shop-performance-overview,4
2020-11-26,marketing-overview,42
2020-10-26,sales-comparison,362
2020-10-14,sales-trend,3
2020-11-30,shipment-parcels,8
2020-10-26,marketing-overview,35
2020-10-12,revenue-factura,10
2020-11-02,marketing-overview,45
2020-12-16,sales-comparison,269
2020-10-26,weekly-sales-comparison,85
2020-11-30,marketing-cost,1
2020-10-22,sales-comparison,295
2020-11-24,sales-trend,9
2020-11-30,revenue-factura-before-returs,1
2020-11-02,revenue-factura,36
2020-11-16,revenue-factura-before-returs,1
2020-10-05,sales-comparison,452
2020-12-15,provisioning-quotes,1
2020-12-15,value-returned,1
2020-11-24,shop-performance-overview,10
2020-10-26,shipment-parcels,9
2020-10-19,weekly-sales-comparison,65
2020-11-20,revenue-factura,19
2020-11-30,user-stats,3
2020-12-15,delivery-quotes,5
2020-11-27,marketing-overview,30
2020-11-17,marketing-overview,26
2020-11-23,sales-trend,13
2020-11-06,value-returned,4
2020-11-30,marketing-affiliate-scorecard,1
2020-12-16,weekly-sales-comparison,30
2020-12-15,shipment-parcels,10
2020-11-16,shipment-parcels,14
2020-12-15,shop-performance-overview,4
2020-10-12,sales-trend,5
2020-11-30,shipment-orders,4
2020-12-17,marketing-overview,37
2020-11-09,marketing-overview,32
2020-10-26,revenue-factura,15
2020-11-26,weekly-sales-comparison,77
2020-11-26,sales-trend,2
2020-12-15,sales-trend,4
2020-10-05,shop-performance-overview,4
2020-11-24,revenue-factura,12
2020-11-02,sales-comparison,442
2020-10-05,marketing-overview,34
2020-12-04,delivery-quotes,1
2020-12-17,weekly-sales-comparison,26
2020-10-12,delivery-quotes,2
2020-12-04,shipment-parcels,9
2020-11-09,shipment-parcels,26
2020-11-16,process-time,1
2020-12-01,marketing-overview,34
2020-11-26,delivery-quotes,2
2020-11-20,weekly-sales-comparison,40
2020-10-27,marketing-overview,24
2020-11-04,revenue-factura,12
2020-10-21,revenue-factura,16
2020-12-02,revenue-factura,19
2020-12-07,shipment-parcels,11
2020-11-04,delivery-quotes,10
2020-11-04,weekly-sales-comparison,95
2020-12-17,process-time,2
2020-10-27,marketing-cost,3
2020-10-27,sales-comparison,380
2020-10-21,user-stats,2
2020-11-13,revenue-factura-before-returs,2
2020-10-19,shop-performance-overview,5
2020-10-21,revenue-factura-before-returs,1
2020-11-02,shipment-parcels,17
2020-10-06,marketing-overview,27
2020-11-12,value-returned,2
2020-10-06,weekly-sales-comparison,52
2020-11-12,revenue-factura,18
2020-11-25,sales-trend,2
2020-11-13,weekly-sales-comparison,75
2020-10-21,sales-comparison,286
2020-10-07,sales-comparison,326
2020-11-25,sales-comparison,401
2020-11-10,sales-comparison,353
2020-11-13,shipment-parcels,20
2020-10-02,marketing-overview,31
2020-10-02,weekly-sales-comparison,25
2020-11-12,revenue-factura-before-returs,3
2020-11-10,marketing-overview,35
2020-10-20,marketing-overview,33
2020-12-02,shipment-orders,5
2020-10-07,revenue-factura,21
2020-11-25,marketing-overview,31
2020-10-27,shop-performance-overview,3
2020-10-07,shipment-parcels,7
2020-10-15,revenue-factura,7
2020-10-15,sales-comparison,306
2020-12-02,marketing-overview,37
2020-10-20,sales-trend,3
2020-11-13,sales-trend,2
2020-11-04,shipment-parcels,16
2020-12-04,revenue-factura-before-returs,2
2020-12-07,weekly-sales-comparison,46
2020-12-17,revenue-factura,15
2020-11-10,revenue-factura,29
2020-10-21,marketing-overview,30
2020-10-15,marketing-overview,41
2020-10-02,sales-comparison,251
2020-12-07,sales-comparison,398
2020-10-07,marketing-overview,36
2020-11-13,user-stats,1
2020-11-02,sales-trend,8
2020-10-06,delivery-quotes,6
2020-11-25,revenue-factura-before-returs,2
2020-10-21,weekly-sales-comparison,85
2020-10-27,sales-trend,3
2020-11-02,delivery-quotes,2
2020-11-26,marketing-cost,1
2020-11-04,sales-comparison,315
2020-10-19,revenue-factura-before-returs,1
2020-10-15,weekly-sales-comparison,48
2020-10-21,shipment-orders,1
2020-10-15,shipment-parcels,8
2020-12-07,sales-trend,6
2020-12-02,shipment-parcels,12
2020-11-13,revenue-factura,24
2020-11-12,delivery-quotes,6
2020-10-20,weekly-sales-comparison,77
2020-12-02,weekly-sales-comparison,66
2020-10-27,weekly-sales-comparison,51
2020-11-12,sales-comparison,292
2020-10-27,revenue-factura,24
2020-11-10,shop-performance-overview,4
2020-10-08,sales-comparison,269
2020-11-02,shipment-orders,3
2020-10-02,shipment-parcels,3
2020-10-20,shipment-parcels,11
2020-11-13,shipment-orders,2
2020-10-20,sales-comparison,361
2020-10-07,marketing-cost,1
2020-11-13,supplies,1
2020-10-07,weekly-sales-comparison,79
2020-11-10,sales-trend,3
2020-12-07,marketing-overview,31
2020-10-08,marketing-overview,22
2020-10-20,revenue-factura,9
2020-10-20,delivery-quotes,4
2020-12-17,value-returned,1
2020-12-07,revenue-factura,24
2020-11-25,shipment-parcels,6
2020-10-06,sales-comparison,283
2020-12-02,sales-comparison,340
2020-11-12,weekly-sales-comparison,48
2020-11-04,marketing-overview,39
2020-11-04,value-returned,3
2020-11-25,revenue-factura,19
2020-11-10,weekly-sales-comparison,40
2020-11-25,value-returned,1
2020-12-22,sales-comparison,242
2020-11-13,sales-comparison,356
2020-12-22,weekly-sales-comparison,32
2020-11-25,weekly-sales-comparison,95
2020-11-26,shipment-orders,4
2020-10-07,value-returned,1
2020-11-13,marketing-overview,21
2020-10-15,shop-performance-overview,10
2020-12-17,shipment-orders,4
2020-10-20,value-returned,1
2020-10-20,shop-performance-overview,3
2020-10-09,shop-performance-overview,3
2020-12-14,weekly-sales-comparison,22
2020-10-09,marketing-overview,19
2020-10-30,revenue-factura,22
2020-10-30,shipment-parcels,13
2020-10-23,revenue-factura,8
2020-12-21,marketing-overview,23
2020-11-12,shop-performance-overview,4
2020-11-12,marketing-overview,30
2020-11-02,shop-performance-overview,1
2020-12-03,value-returned,6
2020-12-14,sales-comparison,326
2020-10-09,delivery-quotes,3
2020-10-08,revenue-factura,3
2020-12-21,revenue-factura,15
2020-10-06,revenue-factura,10
2020-11-03,revenue-factura,14
2020-12-02,sales-trend,1
2020-10-28,sales-trend,2
2020-10-08,shipment-parcels,8
2020-12-17,marketing-affiliate-scorecard,4
2020-11-05,user-stats,4
2020-11-27,shop-performance-overview,2
2020-12-21,weekly-sales-comparison,16
2020-12-03,sales-comparison,263
2020-10-23,marketing-crm-scorecard,1
2020-11-03,sales-comparison,348
2020-10-20,marketing-cost,1
2020-11-12,shipment-parcels,10
2020-10-28,shop-performance-overview,5
2020-12-14,shipment-parcels,23
2020-12-03,marketing-overview,40
2020-10-23,delivery-quotes,1
2020-12-14,revenue-factura-before-returs,1
2020-12-21,sales-comparison,235
2020-12-03,revenue-factura,18
2020-10-30,delivery-quotes,5
2020-10-08,delivery-quotes,6
2020-12-03,revenue-factura-before-returs,3
2020-12-02,shop-performance-overview,2
2020-11-03,weekly-sales-comparison,51
2020-11-23,shipment-orders,4
2020-10-09,sales-comparison,275
2020-10-30,shop-performance-overview,1
2020-11-05,sales-comparison,286
2020-12-14,revenue-factura,21
2020-12-03,weekly-sales-comparison,66
2020-12-14,sales-trend,4
2020-10-30,shipment-orders,6
2020-10-09,shipment-parcels,13
2020-10-23,weekly-sales-comparison,44
2020-10-23,marketing-awin-scorecard,1
2020-11-03,marketing-overview,22
2020-11-03,revenue-factura-before-returs,2
2020-10-23,sales-trend,2
2020-11-05,marketing-overview,29
2020-10-30,sales-comparison,198
2020-11-03,shipment-parcels,8
2020-10-09,revenue-factura,15
2020-10-30,marketing-overview,17
2020-12-14,marketing-overview,31
2020-11-05,weekly-sales-comparison,118
2020-12-14,shop-performance-overview,2
2020-10-09,weekly-sales-comparison,77
2020-10-09,shipment-orders,1
2020-10-12,shop-performance-overview,2
2020-10-23,sales-comparison,243
2020-10-23,marketing-affiliate-scorecard,1
2020-11-05,shop-performance-overview,2
2020-12-03,marketing-awin-scorecard,2
2020-10-08,weekly-sales-comparison,65
2020-11-03,sales-trend,2
2020-11-09,revenue-factura-before-returs,4
2020-11-27,user-stats,1
2020-10-23,marketing-overview,21
2020-12-03,shipment-parcels,11
2020-10-30,weekly-sales-comparison,119
2020-10-23,shipment-parcels,6
2020-12-21,shipment-parcels,7
2020-12-11,sales-comparison,197
2020-11-17,value-returned,2
2020-10-13,sales-trend,3
2020-11-19,shop-performance-overview,7
2020-11-19,sales-trend,2
2020-12-09,weekly-sales-comparison,44
2020-10-05,delivery-quotes,1
2020-11-24,value-returned,2
2020-11-24,process-time,1
2020-12-10,sales-trend,1
2020-11-18,provisioning-quotes,1
2020-12-17,sales-trend,2
2020-12-11,shop-performance-overview,2
2020-10-13,sales-comparison,308
2020-11-18,shipment-parcels,20
2020-12-17,revenue-factura-before-returs,2
2020-12-03,process-time,2
2020-10-13,weekly-sales-comparison,88
2020-12-03,delivery-quotes,4
2020-10-13,shop-performance-overview,1
2020-10-26,shop-performance-overview,4
2020-11-19,weekly-sales-comparison,58
2020-11-19,sales-comparison,313
2020-12-10,sales-comparison,178
2020-12-03,provisioning-quotes,2
2020-10-22,shop-performance-overview,5
2020-12-03,shop-performance-overview,2
2020-10-15,marketing-cost,4
2020-12-11,revenue-factura,19
2020-10-02,revenue-factura-before-returs,1
2020-12-09,sales-comparison,208
2020-12-11,process-time,1
2020-11-24,revenue-factura-before-returs,3
2020-11-18,marketing-overview,26
2020-12-11,shipment-parcels,10
2020-12-11,marketing-overview,24
2020-12-10,weekly-sales-comparison,18
2020-12-11,user-stats,3
2020-10-13,marketing-overview,26
2020-10-21,delivery-quotes,1
2020-11-24,shipment-orders,4
2020-12-10,marketing-overview,33
2020-10-13,shipment-parcels,4
2020-11-17,revenue-factura,21
2020-11-19,revenue-factura,17
2020-12-11,shipment-orders,4
2020-11-09,process-time,1
2020-12-03,supplies,1
